Company Name,SDR Job Count,SDR Job Titles
ZoomInfo,3,"Sales Development Representative, Sales Development Representative, Enterprise, Sales Development Representative, Mid-Market"
Wing Assistant,3,"Sales Development Representative - US (affiliate job post), Sales Development Representative (US), Sales Development Representative + Lead Gen"
Scorpion Enterprises,2,"Sales Development Representative, Sales Development Representative"
Coefficient,2,"Enterprise Sales Development Representative, Commercial Sales Development Representative"
Planet,1,Sales Development Representative
Beans.ai,1,Enterprise Sales Development Representative
"Otter Technologies, Inc",1,Sales Development Representative (SDR)
ClassDojo,1,Sales Development Representative
Abnormal Security,1,Sales Development Representative - SLED
Moveworks,1,Mid-market Sales Development Representative - Central
Brushfire,1,Sales Development Representative
Muck Rack,1,Outbound Sales Development Representative
Eulerity,1,Sales Development Representative
Canonical,1,Graduate Sales Development Representative
SevenRooms,1,Sales Development Representative
ROLLER,1,Sales Development Representative
North (north.com),1,Sales Development Representative
"Innovation Works, Inc.",1,Sales Development Representative - IDELIC
"J.B. Hunt Transport Services, Inc.",1,Sales Development Representative
Intelerad Medical Systems,1,Sales Development Representative (SDR)
ExtraHop,1,Sales Development Representative - Must be in Raleigh
Grafana Labs,1,"Sales Development Representative, West (Remote, California, Portland or Seattle)"
Maven AGI,1,Senior Sales Development Representative
Otter Public Relations,1,High-Ticket Sales Development Representative (SDR)
Emigrant Bank,1,Sales Development Representative
Feedzai,1,Senior Sales Development Representative
Veza Technologies,1,Sales Development Representative
dataplor,1,Outbound Sales Development Representative
Biller Genie,1,"Sales Development Representative - SaaS (Orlando, FL)"
Recurly,1,Sales Development Representative - Outbound
Brainscape,1,Inbound Sales Development Rep
Bloomreach,1,Senior Sales Development Representative
Procore Technologies,1,Sales Development Representative
Schoolytics,1,Senior Sales Development Representative (SDR)
Runwise,1,Sales Development Representative
On The Stage,1,Sales Development Representative
Group Black,1,Sales Development Representative (Contract)
OpenSesame,1,Sales Development Representative
Ontic,1,Sales Development Representative
FMG Suite,1,AR Sales Development Representative (Remote)
RealWork Labs,1,Sales Development Representative
National Business Capital,1,Sales Development Representative
Miter,1,Sales Development Representative
